ra,dec
267.40532,67.39594848
267.40782,67.39618411
267.41032,67.39641974
267.41282,67.39665537
267.41532,67.396891
267.41782,67.39712663
267.42032,67.39736226
267.42282,67.39759789
267.42532,67.39783352
267.42782,67.39806915
267.43032,67.39830478
267.43282,67.39854041
267.43532,67.39877604
267.43782,67.39901167
267.44032,67.3992473
267.44282,67.39948293
267.44532,67.39971856
267.44782,67.39995419
267.45032,67.40018982
267.45282,67.40041201
267.45532,67.40052325
267.45782,67.40063448
267.46032,67.40074571
267.46282,67.40085694
267.46532,67.40096818
267.46782,67.40107941
267.47032,67.40119064
267.47282,67.40130187
267.47532,67.40141311
267.47782,67.40152434
267.48032,67.40163557
267.48282,67.40174681
267.48532,67.40185804
267.48782,67.40196927
267.49032,67.4020805
267.49282,67.40219174
267.49532,67.40230297
267.49782,67.4024142
267.50032,67.40252543
267.50282,67.40263667
267.50532,67.4027479
267.50782,67.40286025
267.51032,67.40297798
267.51282,67.40309572
267.51532,67.40321345
267.51782,67.40333118
267.52032,67.40344891
267.52282,67.40356665
267.52532,67.40368438
267.52782,67.40380211
267.53032,67.40391984
267.53282,67.40403758
267.53532,67.40415531
267.53782,67.40427304
267.54032,67.40439077
267.54282,67.40513368
267.54532,67.40676883
267.54782,67.40840399
267.55032,67.41003914
267.55282,67.41167429
267.55532,67.41330944
267.55782,67.41494459
267.56032,67.41759805
267.56282,67.42029393
267.56532,67.42298981
267.56782,67.4256857
267.57032,67.42838158
267.57282,67.43107746
267.57532,67.43383103
267.57782,67.43658854
267.58032,67.43934605
267.58282,67.44210356
267.58532,67.44486107
267.58782,67.44730042
267.59032,67.44913302
267.59282,67.45096562
267.59532,67.45279823
267.59782,67.45463083
267.60032,67.45646344
267.60282,67.45829604
267.60532,67.46009196
267.60782,67.46077826
267.61032,67.46146457
267.61282,67.46215087
267.61532,67.46283717
267.61782,67.46352347
267.62032,67.46420977
267.62282,67.46489608
267.62532,67.46558238
267.62782,67.46626868
267.63032,67.46695498
267.63282,67.46764129
267.63532,67.46832759
267.63782,67.46901389
267.64032,67.46970019
267.64282,67.47019809
267.64532,67.4706601
267.64782,67.47112211
267.65032,67.47158412
267.65282,67.47204613
267.65532,67.47250814
267.65782,67.47297015
267.66032,67.47343216
267.66282,67.47389417
267.66532,67.47435618
267.66782,67.47481819
267.67032,67.4752802
267.67282,67.47574221
267.67532,67.47620422
267.67782,67.47666623
267.68032,67.47712824
267.68282,67.47759025
267.68532,67.47805226
267.68782,67.47851427
267.69032,67.47897628
267.69282,67.47943744
267.69532,67.47989808
267.69782,67.48035872
267.70032,67.48081936
267.70282,67.48128
267.70532,67.48174064
267.70782,67.48220128
267.71032,67.48266192
267.71282,67.48312256
267.71532,67.4835832
267.71782,67.48404384
267.72032,67.48450448
267.72282,67.48496512
267.72532,67.48542576
267.72782,67.4858864
267.73032,67.48634704
267.73282,67.48680768
267.73532,67.48726832
267.73782,67.48771531
267.74032,67.4880693
267.74282,67.48842329
267.74532,67.48877727
267.74782,67.48913126
267.75032,67.48948525
267.75282,67.48983924
267.75532,67.49019322
267.75782,67.49054721
267.76032,67.4909012
267.76282,67.49125518
267.76532,67.49160917
267.76782,67.49196316
267.77032,67.49231715
267.77282,67.49267113
267.77532,67.49302512
267.77782,67.49337911
267.78032,67.4937331
267.78282,67.49396767
267.78532,67.49419243
267.78782,67.49441719
267.79032,67.49464194
267.79282,67.4948667
267.79532,67.49509146
267.79782,67.49531621
267.80032,67.49554097
267.80282,67.49576573
267.80532,67.49599048
267.80782,67.49621524
267.81032,67.49644
267.81282,67.49666475
267.81532,67.49688951
267.81782,67.49711426
267.82032,67.49733902
267.82282,67.49756378
267.82532,67.49778853
267.82782,67.4980231
267.83032,67.49825925
